Politikbereich,Zweck
Verkehr,"Nord-Süd-Tangente; Linie 26/27, 2.2. Teil-BPU,A"
Bildung,Gedenken zu 30 Jahre Mauerfall
Stadtentwicklung,Lernen Na Logo - Bildungsnetzwerk Hellersdorfer Promenade
Jugend,Kinder- und Jugendambulanz
Jugend,Therapiebad
Integration,Stadtteilmütter in Neukölln
Jugend,Ausbau Familienzentrum
Jugend,Machbarkeitsstudie queeres Jugendzentrum
Jugend,Im Dorf der Hoffnung
Jugend,Projekttage VIELFÄLTIG FREIWILLIG
Bildung,Sprachschulungen für aktive Gropiusstädter
Wirtschaft,Elektrofahrzeug
Integration,Begleitprogramm: Learning by doing
Familie,Kinderbildungscafe
Jugend,Service Learning
Stadtentwicklung,"Bildungs- und Öffentlichkeitsarbeit gemeinwohlorientierte Stadtentwicklung
gemeinwohlorientierte
Bildungs- und Öffentlichkeitsarbeit
gemeinwohlorientierte
Stadtentwicklung"
Stadtentwicklung,"Sachmittel für freiwilliges Engagement in
Nachbarschaften"
Jugend,Erziehungs- und Familienberatungsstellen
Integration,Zusammen Fit für die Schule – Projekt zur Förderung der Sprachentwicklung von Vorschulkindern (FEIN Mittel)
Bildung,Beschaffung Lernmittel- gem. § 101 Abs. 8 SchulG -Freie Schule Ann-Sophie-Grundschule
Kultur,Subculture Berlin 80's
Jugend,Kontakt- und Beratungsstelle/SleepIn (KuB)
Arbeit,"Landeszuschuss für KMU - Lohnkostenzuschuss für ""Das Futterhaus"" - Berlin GmbH & Co. KG"
Jugend,"Gute-Kita-Gesetz- Ausgestaltung pädagogischer Räume, Barrierefreiheit und Gesundheitsförderung"
Arbeit,"Landeszuschuss für KMU - Lohnkostenzuschuss für ""GIRASOLES - SONNENBLUMEN"" e.V."
Arbeit,"Lohnkostenzuschuss für ""GIRASOLES - SONNENBLUMEN"" e.V."
Jugend,Filmreihe mit Diskussion
Kultur,Ausstellung Kunst trifft Industrie - Industrie trifft Kunst und 10 Jahre Industriesalon
Wirtschaft,Personal- und Sachkosten für Öffentlichkeitsarbeit im Rahmen der Entwicklung der Highlights der Industriekultur in Schöneweide
Kultur,Ausstellungen Schöner Strom/Einzug der Elektrizität in historische Puppenstuben
Denkmalschutz,Tour der Arbeit
Kultur,"Digitalisierung ""Online-Präsentation des Technischen Fotoarchivs des ehemaligen Werks für Fernsehelektronik Berlin-Oberschöneweide """
Arbeit,FAV - Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten
Arbeit,FAV - Technische Mitarbeit und Bürohilfe
Arbeit,Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten
Arbeit,Integrationsassistenten für Migrantengruppen
Arbeit,Technische Mitarbeit und Bürohilfe
Arbeit,Unterstützung ehrenamtlicher Arbeit in der KULTSchule
Wirtschaft,Ladeinfrastruktur
Soziales,Kältehilfe 2016
Soziales,Kältehilfe 2017
Soziales,Notübernachtung
Soziales,Notübernachtung (Kältehilfe)
Gesundheit,APG 0920-68406-353 / Projektnr. APG-MH/1-2020 / Projekt 4 Janz nah draussen
Jugend,Baul. Maßnahme -Schaffung von Plätzen - Kitaausbauprogramm
Gleichstellung,Öffentlichkeitsarbeit und Beschaffung
Verkehr,Radfahrtrainings für geflüchtete Frauen
Wirtschaft,Errichtung einer Betriebsstätte
Wissenschaft,Sonstige Zuschüsse für konsumtive Zwecke im Inland: Kompensation von Mieten/ Umbau von Infrastrukturflächen
Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport
Sport,Kosten für die Beschäftigung von Übungsleitern
Sport,Vereinsentwicklungsprogramm
Sport,Fördervereinbarung / Förderung des Jugendwettkampfsports
Sport,Masterplan Integration und Sicherheit durch Sport
Stadtentwicklung,Trainingscamp in den Herbstferien
Sport,Schaffung besserer Trainingsbedingungen für die Jugendarbeit des 1. FC Lübars (BVV-Sondermittel)
Bildung,Profivereine machen Kita - Bewegungs- und Sportförderung an Kitas
Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen
Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen
Sport,Kosten für die Beschäftigung von hauptberuflichen Trainerinnen und Trainern mit Schwerpunkt im Kinder- und Jugendsport
Sport,Teilhabeprogramm / „Inklusionsbogensport“
Sport,Fördervereinbarung / Leistungssportförderung
"Bürgerschaftliches Engagement, Bürgerbeteiligung",Neuanlage Steingarten und Neubepflanzung einer Hecke
Sport,Sondermittelantrag Nummer 2
Sport,Sport im Park
Stadtentwicklung,Samstagsveranstaltung für jedermann
Sport,Masterplan / Sportangebote für geflüchtete Menschen
Sport,"Durchführung eines Projektes ""Sport im Park"""
Integration,Sport und Integration (Flüchtlingssport in der Leichtathletik)
